"","Rank","Url","Track","Artist","Streams","Date"
"1","1","https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns","I Don't Care (with Justin Bieber)","Ed Sheeran",201916,2019-06-01
"2","2","https://open.spotify.com/track/0n2nEtLP3OzDdi12ziIekx","SOS","Avicii",172821,2019-06-01
"3","3","https://open.spotify.com/track/2kju4JyRnNmiwQYhFrLgKy","Hornstullsstrand","Hov1",165042,2019-06-01
"4","4","https://open.spotify.com/track/4XZxalvnG4Yo8YZLuiT1kV","Tough Love","Avicii",142436,2019-06-01
"5","5","https://open.spotify.com/track/7Jtmca0gCNHj9OIvv6N1y3","Det bästa kanske inte hänt än","Molly Sandén",132492,2019-06-01
"6","6","https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m","bad guy","Billie Eilish",128099,2019-06-01
"7","7","https://open.spotify.com/track/5iJLphnVyGpLeAcsOZSfhw","Tillfälligheter","Veronica Maggio",120358,2019-06-01
"8","8","https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7","Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",108935,2019-06-01
"9","9","https://open.spotify.com/track/4zq3vo66raGBslISEk6Kg5","Va det då?","Molly Sandén",103368,2019-06-01
"10","10","https://open.spotify.com/track/3xkGJKpWrn1n6Bk2m84bJP","Rosa himmel (från ""Störst av allt"")","Molly Sandén",102584,2019-06-01
"11","11","https://open.spotify.com/track/4GK4mydvnsodLEHWb4zJV4","Sunnanvind","Mares",99929,2019-06-01
"12","12","https://open.spotify.com/track/2OQgPPnwvacwYPs4CwRKjK","Dö ung","Hov1",99815,2019-06-01
"13","13","https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD","Arcade","Duncan Laurence",94859,2019-06-01
"14","14","https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3","Soldi","Mahmood",88568,2019-06-01
"15","15","https://open.spotify.com/track/3ohk7UW328iwdvQLz9sxCv","Neon","Hov1",87691,2019-06-01
"16","16","https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR","Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",87675,2019-06-01
"17","17","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","Shallow","Lady Gaga",87494,2019-06-01
"18","18","https://open.spotify.com/track/5xbp9RXjjnCvieIaABgJBB","Rör mig","Einár",86251,2019-06-01
"19","19","https://open.spotify.com/track/1pdK9ClsixbZUMvFbtv8fc","74 Bars","Z.E",85300,2019-06-01
"20","20","https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz","If I Can't Have You","Shawn Mendes",80100,2019-06-01
"21","21","https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O","Old Town Road","Lil Nas X",79943,2019-06-01
"22","22","https://open.spotify.com/track/53T4MpkaHLd3oYK5PC5YH2","Den som e den","Molly Sandén",78567,2019-06-01
"23","23","https://open.spotify.com/track/1ZdxC3zKhv7A8W0QOhcaAy","Vindar på Mars","Hov1",78258,2019-06-01
"24","24","https://open.spotify.com/track/67aaf3NeORgCeiZl1ITNXP","Odödlig","Samir & Viktor",72012,2019-06-01
"25","25","https://open.spotify.com/track/4rJcxFOljjd2sqfgIjksTI","We’re The Same‬‬","Vigiland",69309,2019-06-01
"26","26","https://open.spotify.com/track/2K5Us8xDqhsseNiSvdpeaK","Rika","Ricky Rich",66323,2019-06-01
"27","27","https://open.spotify.com/track/6Jf8Y84YSdqeJfEPDJFEZu","Too Late For Love","John Lundvik",66306,2019-06-01
"28","28","https://open.spotify.com/track/6u0L0dqNEwuB18oHbAUn9Q","Hata mig","Molly Sandén",64819,2019-06-01
"29","29","https://open.spotify.com/track/7eXmd9KhEpsvATd568suYZ","Sånger från förut","GAMMAL",64635,2019-06-01
"30","30","https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf","Someone You Loved","Lewis Capaldi",64401,2019-06-01
"31","31","https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM","Rescue Me","OneRepublic",62688,2019-06-01
"32","32","https://open.spotify.com/track/2FyY0M4Hi4uaTQlk98TCzL","Wikipedia","Jireel",62256,2019-06-01
