"","id","Rank","Track","Artist","Streams","Date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","01FLc163t7XIEaiCQMUJ2i",123,"Uno Dos Tres Shurda","Anis Don Demina",29451,"2019-07-19",0.733,0.951,7,-3.543,1,0.135,0.00258,0.0113,0.355,0.43,127.941,"audio_features","spotify:track:01FLc163t7XIEaiCQMUJ2i","https://api.spotify.com/v1/tracks/01FLc163t7XIEaiCQMUJ2i","https://api.spotify.com/v1/audio-analysis/01FLc163t7XIEaiCQMUJ2i",184490,4
"2","01LWBjJwFdRSCeovqipb3D",19,"Ta mig till havet","Peter Lundblad",117592,"2019-06-21",0.545,0.23,10,-16.044,1,0.0263,0.461,0,0.197,0.297,101.019,"audio_features","spotify:track:01LWBjJwFdRSCeovqipb3D","https://api.spotify.com/v1/tracks/01LWBjJwFdRSCeovqipb3D","https://api.spotify.com/v1/audio-analysis/01LWBjJwFdRSCeovqipb3D",268907,3
"3","02itaCXOdC54J0ISjqqFAp",86,"All Around The World (La La La)","R3HAB",32103,"2019-06-01",0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,"audio_features","spotify:track:02itaCXOdC54J0ISjqqFAp","https://api.spotify.com/v1/tracks/02itaCXOdC54J0ISjqqFAp","https://api.spotify.com/v1/audio-analysis/02itaCXOdC54J0ISjqqFAp",147840,4
"4","03gKGNw6FqEz8BC0XsfCDC",40,"Fusk","Einár",58107,"2019-06-01",0.702,0.505,4,-11.688,0,0.214,0.194,0,0.367,0.31,169.952,"audio_features","spotify:track:03gKGNw6FqEz8BC0XsfCDC","https://api.spotify.com/v1/tracks/03gKGNw6FqEz8BC0XsfCDC","https://api.spotify.com/v1/audio-analysis/03gKGNw6FqEz8BC0XsfCDC",203294,4
"5","03sEzk1VyrUZSgyhoQR0LZ",170,"Pneuma","TOOL",23592,"2019-08-30",0.417,0.529,9,-9.338,0,0.0315,0.00211,0.755,0.11,0.0561,114.116,"audio_features","spotify:track:03sEzk1VyrUZSgyhoQR0LZ","https://api.spotify.com/v1/tracks/03sEzk1VyrUZSgyhoQR0LZ","https://api.spotify.com/v1/audio-analysis/03sEzk1VyrUZSgyhoQR0LZ",713192,1
"6","03XZXHIhm24O6UUh9JODYc",92,"Kommit långt (feat. Dani M)","Aden x Asme",35590,"2019-06-13",0.562,0.646,8,-8.707,1,0.35,0.605,0,0.13,0.555,99.988,"audio_features","spotify:track:03XZXHIhm24O6UUh9JODYc","https://api.spotify.com/v1/tracks/03XZXHIhm24O6UUh9JODYc","https://api.spotify.com/v1/audio-analysis/03XZXHIhm24O6UUh9JODYc",201600,4
"7","04IuFLNiN1KbJIkOqv162s",126,"The Red Baron","Sabaton",34006,"2019-06-14",0.404,0.97,0,-5.853,0,0.42,0.0257,0,0.0741,0.196,95.047,"audio_features","spotify:track:04IuFLNiN1KbJIkOqv162s","https://api.spotify.com/v1/tracks/04IuFLNiN1KbJIkOqv162s","https://api.spotify.com/v1/audio-analysis/04IuFLNiN1KbJIkOqv162s",202333,4
"8","04LHuPqOMSpnHFaziPq1qO",102,"Din tid kommer - Otto Knows Remix","Håkan Hellström",58170,"2019-06-21",0.542,0.862,2,-4.423,1,0.0969,0.251,0.000122,0.111,0.441,128.024,"audio_features","spotify:track:04LHuPqOMSpnHFaziPq1qO","https://api.spotify.com/v1/tracks/04LHuPqOMSpnHFaziPq1qO","https://api.spotify.com/v1/audio-analysis/04LHuPqOMSpnHFaziPq1qO",286875,4
"9","05CwHjIk71RXVU40boRMnR",45,"Call You Mine","The Chainsmokers",52208,"2019-06-01",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,"audio_features","spotify:track:05CwHjIk71RXVU40boRMnR","https://api.spotify.com/v1/tracks/05CwHjIk71RXVU40boRMnR","https://api.spotify.com/v1/audio-analysis/05CwHjIk71RXVU40boRMnR",217653,4
"10","05kHxnnHprpntLT6mHT78m",141,"Större","Molly Sandén",23102,"2019-06-01",0.652,0.642,8,-7.014,1,0.124,0.126,1.3e-06,0.107,0.424,136.081,"audio_features","spotify:track:05kHxnnHprpntLT6mHT78m","https://api.spotify.com/v1/tracks/05kHxnnHprpntLT6mHT78m","https://api.spotify.com/v1/audio-analysis/05kHxnnHprpntLT6mHT78m",209413,4
"11","06OV3qRCboo6THc73Vy2l5",116,"The Wayfarer","Bruce Springsteen",36188,"2019-06-14",0.681,0.391,10,-9.244,1,0.0314,0.386,0.000594,0.11,0.58,119.058,"audio_features","spotify:track:06OV3qRCboo6THc73Vy2l5","https://api.spotify.com/v1/tracks/06OV3qRCboo6THc73Vy2l5","https://api.spotify.com/v1/audio-analysis/06OV3qRCboo6THc73Vy2l5",258440,4
"12","06WtiS7uvOeLXTN5J0IIRb",75,"27 Sorries","Peg Parnevik",45833,"2019-06-07",0.646,0.702,7,-5.833,1,0.0854,0.505,0,0.192,0.506,74.024,"audio_features","spotify:track:06WtiS7uvOeLXTN5J0IIRb","https://api.spotify.com/v1/tracks/06WtiS7uvOeLXTN5J0IIRb","https://api.spotify.com/v1/audio-analysis/06WtiS7uvOeLXTN5J0IIRb",151832,4
